分類, 子分類, 問題/描述
硬件配置, 处理器(CPU), "CPU 性能怎么样？能满足我的需求吗？"
硬件配置, 处理器(CPU), "i5 还是i7 更好？"
硬件配置, 处理器(CPU), "哪一代的CPU比较新？"
硬件配置, 内存(RAM), "需要多大的内存？8GB 还是16GB？"
硬件配置, 内存(RAM), "内存对我的工作/游戏影响大吗？"
硬件配置, 存储(硬盘/SSD), "固态硬盘(SSD) 和机械硬盘(HDD) 哪个好？容量多大合适？"
硬件配置, 存储(硬盘/SSD), "SSD 速度快，但容量小，怎么选择？"
硬件配置, 显卡(GPU), "独立显卡和集成显卡有什么区别？我需要独立显卡吗？"
硬件配置, 显卡(GPU), "游戏本的显卡型号有哪些？"
硬件配置, 屏幕, "屏幕尺寸多大合适？13寸、14寸还是15寸？"
硬件配置, 屏幕, "屏幕分辨率多少比较好？1080p 还是4K？"
硬件配置, 屏幕, "屏幕刷新率多少比较好？60Hz 还是144Hz?"
硬件配置, 屏幕, "屏幕的色彩表现怎么样？"
硬件配置, 接口, "接口够用吗？需要USB-C 接口吗？"
硬件配置, 接口, "有没有HDMI 接口？"
硬件配置, 电池续航, "电池续航时间有多长？能满足我的使用需求吗？"
软件和系统, 操作系统, "Windows、macOS、Linux 哪个更适合我？"
软件和系统, 软件兼容性, "常用的软件在这个笔记本上能正常运行吗？"
价格和品牌, 预算, "我的预算是多少？在这个价位能买到什么配置的笔记本？"
价格和品牌, 品牌, "哪个品牌的笔记本电脑质量好？售后服务怎么样？"
价格和品牌, 品牌, "有什么推荐的笔记本电脑品牌吗？"
应用场景, 工作, "适合办公使用的笔记本电脑有哪些推荐？"
应用场景, 工作, "写代码用什么笔记本好？"
应用场景, 学习, "适合学生使用的笔记本电脑有哪些推荐？"
应用场景, 游戏, "游戏本有哪些推荐？"
应用场景, 游戏, "玩大型游戏需要什么配置的笔记本？"
应用场景, 影音娱乐, "看视频、听音乐用什么笔记本好？"
其它, 散热, "散热怎么样？会不会很烫？"
其它, 便携性, "笔记本电脑的重量和体积怎么样？方便携带吗？"
其它, 键盘和触摸板, "键盘手感怎么样？触摸板好用吗？"
其它, 售后服务, "售后服务怎么样？保修期多久？"
